eventname,eventcategory,eventdescription,eventdate,eventstatus
AddToCart,Social,Description for event 529,2025-03-18,Archived
Checkout,Social,Description for event 533,2025-03-18,Archived
Signup,Transactional,Description for event 534,2025-03-18,Active
ProductView,Social,Description for event 535,2025-03-18,Archived
AddToCart,Transactional,Description for event 536,2025-03-18,Active
Logout,Social,Description for event 537,2025-03-18,Archived
Subscription,Transactional,Description for event 538,2025-03-18,Active
Signup,Transactional,Description for event 548,2025-03-18,Active
AddToCart,Transactional,Description for event 550,2025-03-18,Active
Logout,Social,Description for event 551,2025-03-18,Archived
Login,Social,Description for event 553,2025-03-18,Archived
Logout,Transactional,Description for event 558,2025-03-18,Active
Subscription,Social,Description for event 559,2025-03-18,Archived
Login,Transactional,Description for event 560,2025-03-18,Active
AddToCart,Transactional,Description for event 564,2025-03-18,Active
Logout,Social,Description for event 565,2025-03-18,Archived
Subscription,Transactional,Description for event 566,2025-03-18,Active
Signup,Social,Description for event 569,2025-03-18,Archived
ProductView,Transactional,Description for event 570,2025-03-18,Active
AddToCart,Social,Description for event 571,2025-03-18,Archived
Logout,Transactional,Description for event 572,2025-03-18,Active
Checkout,Social,Description for event 575,2025-03-18,Archived
AddToCart,Transactional,Description for event 578,2025-03-18,Active
Logout,Social,Description for event 579,2025-03-18,Archived
Subscription,Transactional,Description for event 580,2025-03-18,Active
Checkout,Transactional,Description for event 582,2025-03-18,Active
Signup,Social,Description for event 583,2025-03-18,Archived
Logout,Transactional,Description for event 586,2025-03-18,Active
Subscription,Social,Description for event 587,2025-03-18,Archived
Login,Transactional,Description for event 588,2025-03-18,Active
Signup,Transactional,Description for event 590,2025-03-18,Active
AddToCart,Transactional,Description for event 592,2025-03-18,Active
AddToCart,Social,Description for event 599,2025-03-18,Archived
Logout,Transactional,Description for event 600,2025-03-18,Active
Login,Transactional,Description for event 602,2025-03-18,Active
Checkout,Social,Description for event 603,2025-03-18,Archived
Logout,Social,Description for event 607,2025-03-18,Archived
Login,Social,Description for event 609,2025-03-18,Archived
Checkout,Transactional,Description for event 610,2025-03-18,Active
Subscription,Social,Description for event 615,2025-03-18,Archived
Checkout,Social,Description for event 617,2025-03-18,Archived
Signup,Transactional,Description for event 618,2025-03-18,Active
ProductView,Social,Description for event 619,2025-03-18,Archived
AddToCart,Transactional,Description for event 620,2025-03-18,Active
Logout,Social,Description for event 621,2025-03-18,Archived
Login,Social,Description for event 623,2025-03-18,Archived
Checkout,Transactional,Description for event 624,2025-03-18,Active
AddToCart,Social,Description for event 627,2025-03-18,Archived
Logout,Transactional,Description for event 628,2025-03-18,Active
Subscription,Social,Description for event 629,2025-03-18,Archived
Checkout,Social,Description for event 631,2025-03-18,Archived
Signup,Transactional,Description for event 632,2025-03-18,Active
Logout,Social,Description for event 635,2025-03-18,Archived
Checkout,Transactional,Description for event 638,2025-03-18,Active
Signup,Social,Description for event 639,2025-03-18,Archived
AddToCart,Social,Description for event 641,2025-03-18,Archived
Logout,Transactional,Description for event 642,2025-03-18,Active
Subscription,Social,Description for event 643,2025-03-18,Archived
Checkout,Social,Description for event 645,2025-03-18,Archived
Signup,Transactional,Description for event 646,2025-03-18,Active
AddToCart,Transactional,Description for event 648,2025-03-18,Active
Subscription,Transactional,Description for event 650,2025-03-18,Active
Login,Social,Description for event 651,2025-03-18,Archived
Signup,Social,Description for event 653,2025-03-18,Archived
ProductView,Transactional,Description for event 654,2025-03-18,Active
Logout,Transactional,Description for event 656,2025-03-18,Active
Subscription,Social,Description for event 657,2025-03-18,Archived
AddToCart,Transactional,Description for event 662,2025-03-18,Active
Signup,Social,Description for event 667,2025-03-18,Archived
AddToCart,Social,Description for event 669,2025-03-18,Archived
Subscription,Social,Description for event 671,2025-03-18,Archived
Login,Transactional,Description for event 672,2025-03-18,Active
Checkout,Social,Description for event 673,2025-03-18,Archived
AddToCart,Transactional,Description for event 676,2025-03-18,Active
Logout,Social,Description for event 677,2025-03-18,Archived
Signup,Social,Description for event 681,2025-03-18,Archived
ProductView,Transactional,Description for event 682,2025-03-18,Active
AddToCart,Social,Description for event 683,2025-03-18,Archived
Logout,Transactional,Description for event 684,2025-03-18,Active
Subscription,Social,Description for event 685,2025-03-18,Archived
Login,Transactional,Description for event 686,2025-03-18,Active
Checkout,Social,Description for event 687,2025-03-18,Archived
Signup,Transactional,Description for event 688,2025-03-18,Active
Logout,Social,Description for event 691,2025-03-18,Archived
Subscription,Transactional,Description for event 692,2025-03-18,Active
Login,Social,Description for event 693,2025-03-18,Archived
Signup,Social,Description for event 695,2025-03-18,Archived
AddToCart,Social,Description for event 697,2025-03-18,Archived
Subscription,Social,Description for event 699,2025-03-18,Archived
Login,Transactional,Description for event 700,2025-03-18,Active
Signup,Transactional,Description for event 702,2025-03-18,Active
ProductView,Social,Description for event 703,2025-03-18,Archived
AddToCart,Transactional,Description for event 704,2025-03-18,Active
Signup,Social,Description for event 709,2025-03-18,Archived
Login,Transactional,Description for event 714,2025-03-18,Active
Signup,Transactional,Description for event 716,2025-03-18,Active
Logout,Social,Description for event 719,2025-03-18,Archived
Checkout,Transactional,Description for event 722,2025-03-18,Active
Logout,Transactional,Description for event 726,2025-03-18,Active
Login,Transactional,Description for event 728,2025-03-18,Active
Signup,Transactional,Description for event 730,2025-03-18,Active
Login,Social,Description for event 735,2025-03-18,Archived
Checkout,Transactional,Description for event 736,2025-03-18,Active
Signup,Social,Description for event 737,2025-03-18,Archived
Logout,Transactional,Description for event 740,2025-03-18,Active
Login,Transactional,Description for event 742,2025-03-18,Active
Signup,Transactional,Description for event 744,2025-03-18,Active
AddToCart,Transactional,Description for event 746,2025-03-18,Active
Logout,Social,Description for event 747,2025-03-18,Archived
Subscription,Transactional,Description for event 748,2025-03-18,Active
Checkout,Transactional,Description for event 750,2025-03-18,Active
Signup,Social,Description for event 751,2025-03-18,Archived
Logout,Transactional,Description for event 754,2025-03-18,Active
Subscription,Social,Description for event 755,2025-03-18,Archived
Login,Transactional,Description for event 756,2025-03-18,Active
ProductView,Social,Description for event 759,2025-03-18,Archived
Logout,Social,Description for event 761,2025-03-18,Archived
Signup,Social,Description for event 765,2025-03-18,Archived
ProductView,Transactional,Description for event 766,2025-03-18,Active
AddToCart,Social,Description for event 767,2025-03-18,Archived
Logout,Transactional,Description for event 768,2025-03-18,Active
Subscription,Social,Description for event 769,2025-03-18,Archived
Checkout,Social,Description for event 771,2025-03-18,Archived
Subscription,Transactional,Description for event 776,2025-03-18,Active
Checkout,Transactional,Description for event 778,2025-03-18,Active
Login,Transactional,Description for event 784,2025-03-18,Active
Checkout,Social,Description for event 785,2025-03-18,Archived
Signup,Transactional,Description for event 786,2025-03-18,Active
ProductView,Social,Description for event 787,2025-03-18,Archived
Logout,Social,Description for event 789,2025-03-18,Archived
Subscription,Transactional,Description for event 790,2025-03-18,Active
Login,Social,Description for event 791,2025-03-18,Archived
ProductView,Transactional,Description for event 794,2025-03-18,Active
Logout,Transactional,Description for event 796,2025-03-18,Active
Subscription,Social,Description for event 797,2025-03-18,Archived
Checkout,Social,Description for event 799,2025-03-18,Archived
Signup,Transactional,Description for event 800,2025-03-18,Active
AddToCart,Transactional,Description for event 802,2025-03-18,Active
Checkout,Transactional,Description for event 806,2025-03-18,Active
Logout,Transactional,Description for event 810,2025-03-18,Active
Login,Transactional,Description for event 812,2025-03-18,Active
Checkout,Social,Description for event 813,2025-03-18,Archived
Signup,Transactional,Description for event 814,2025-03-18,Active
Subscription,Transactional,Description for event 818,2025-03-18,Active
Checkout,Transactional,Description for event 820,2025-03-18,Active
ProductView,Transactional,Description for event 822,2025-03-18,Active
Logout,Transactional,Description for event 824,2025-03-18,Active
Subscription,Social,Description for event 825,2025-03-18,Archived
Login,Transactional,Description for event 826,2025-03-18,Active
Checkout,Social,Description for event 827,2025-03-18,Archived
Signup,Transactional,Description for event 828,2025-03-18,Active
ProductView,Social,Description for event 829,2025-03-18,Archived
Logout,Social,Description for event 831,2025-03-18,Archived
Login,Social,Description for event 833,2025-03-18,Archived
Checkout,Transactional,Description for event 834,2025-03-18,Active
Signup,Social,Description for event 835,2025-03-18,Archived
ProductView,Transactional,Description for event 836,2025-03-18,Active
Logout,Transactional,Description for event 838,2025-03-18,Active
Subscription,Social,Description for event 839,2025-03-18,Archived
Login,Transactional,Description for event 840,2025-03-18,Active
ProductView,Social,Description for event 843,2025-03-18,Archived
AddToCart,Transactional,Description for event 844,2025-03-18,Active
Logout,Social,Description for event 845,2025-03-18,Archived
Login,Social,Description for event 847,2025-03-18,Archived
Checkout,Transactional,Description for event 848,2025-03-18,Active
ProductView,Transactional,Description for event 850,2025-03-18,Active
AddToCart,Social,Description for event 851,2025-03-18,Archived
Logout,Transactional,Description for event 852,2025-03-18,Active
Subscription,Social,Description for event 853,2025-03-18,Archived
Login,Transactional,Description for event 854,2025-03-18,Active
Subscription,Transactional,Description for event 860,2025-03-18,Active
Checkout,Social,Description for event 869,2025-03-18,Archived
AddToCart,Transactional,Description for event 872,2025-03-18,Active
Login,Social,Description for event 875,2025-03-18,Archived
Signup,Social,Description for event 877,2025-03-18,Archived
AddToCart,Social,Description for event 879,2025-03-18,Archived
Logout,Transactional,Description for event 880,2025-03-18,Active
Subscription,Social,Description for event 881,2025-03-18,Archived
Login,Transactional,Description for event 882,2025-03-18,Active
Signup,Transactional,Description for event 884,2025-03-18,Active
ProductView,Social,Description for event 885,2025-03-18,Archived
AddToCart,Transactional,Description for event 886,2025-03-18,Active
Subscription,Transactional,Description for event 888,2025-03-18,Active
Checkout,Transactional,Description for event 890,2025-03-18,Active
Signup,Social,Description for event 891,2025-03-18,Archived
AddToCart,Social,Description for event 893,2025-03-18,Archived
Signup,Transactional,Description for event 898,2025-03-18,Active
AddToCart,Transactional,Description for event 900,2025-03-18,Active
Subscription,Transactional,Description for event 902,2025-03-18,Active
ProductView,Transactional,Description for event 906,2025-03-18,Active
Subscription,Social,Description for event 909,2025-03-18,Archived
Login,Transactional,Description for event 910,2025-03-18,Active
Signup,Transactional,Description for event 912,2025-03-18,Active
AddToCart,Transactional,Description for event 914,2025-03-18,Active
Logout,Social,Description for event 915,2025-03-18,Archived
Login,Social,Description for event 917,2025-03-18,Archived
Signup,Social,Description for event 919,2025-03-18,Archived
AddToCart,Social,Description for event 921,2025-03-18,Archived
Logout,Transactional,Description for event 922,2025-03-18,Active
Login,Transactional,Description for event 924,2025-03-18,Active
AddToCart,Transactional,Description for event 928,2025-03-18,Active
Subscription,Transactional,Description for event 930,2025-03-18,Active
Login,Transactional,Description for event 938,2025-03-18,Active
Checkout,Social,Description for event 939,2025-03-18,Archived
AddToCart,Transactional,Description for event 942,2025-03-18,Active
Logout,Social,Description for event 943,2025-03-18,Archived
Subscription,Transactional,Description for event 944,2025-03-18,Active
Checkout,Social,Description for event 953,2025-03-18,Archived
Signup,Transactional,Description for event 954,2025-03-18,Active
ProductView,Social,Description for event 955,2025-03-18,Archived
Subscription,Transactional,Description for event 958,2025-03-18,Active
Login,Social,Description for event 959,2025-03-18,Archived
ProductView,Transactional,Description for event 962,2025-03-18,Active
Logout,Transactional,Description for event 964,2025-03-18,Active
Subscription,Social,Description for event 965,2025-03-18,Archived
Login,Transactional,Description for event 966,2025-03-18,Active
Checkout,Social,Description for event 967,2025-03-18,Archived
ProductView,Social,Description for event 969,2025-03-18,Archived
Login,Social,Description for event 973,2025-03-18,Archived
Checkout,Transactional,Description for event 974,2025-03-18,Active
Signup,Social,Description for event 975,2025-03-18,Archived
AddToCart,Social,Description for event 977,2025-03-18,Archived
Logout,Transactional,Description for event 978,2025-03-18,Active
Login,Transactional,Description for event 980,2025-03-18,Active
Checkout,Social,Description for event 981,2025-03-18,Archived
AddToCart,Transactional,Description for event 984,2025-03-18,Active
Login,Social,Description for event 987,2025-03-18,Archived
Checkout,Transactional,Description for event 988,2025-03-18,Active
ProductView,Transactional,Description for event 990,2025-03-18,Active
AddToCart,Social,Description for event 991,2025-03-18,Archived
Logout,Transactional,Description for event 992,2025-03-18,Active
Subscription,Social,Description for event 993,2025-03-18,Archived
Login,Transactional,Description for event 994,2025-03-18,Active
ProductView,Social,Description for event 997,2025-03-18,Archived
AddToCart,Transactional,Description for event 998,2025-03-18,Active
ProductView,Transactional,Description for event 2000008,2025-03-18,Active
Subscription,Social,Description for event 2000011,2025-03-18,Archived
Logout,Social,Description for event 2000017,2025-03-18,Archived
Subscription,Transactional,Description for event 2000018,2025-03-18,Active
Login,Social,Description for event 2000019,2025-03-18,Archived
Checkout,Transactional,Description for event 2000020,2025-03-18,Active
Signup,Social,Description for event 2000021,2025-03-18,Archived
Checkout,Social,Description for event 2000027,2025-03-18,Archived
ProductView,Social,Description for event 2000029,2025-03-18,Archived
Signup,Social,Description for event 2000035,2025-03-18,Archived
ProductView,Transactional,Description for event 2000036,2025-03-18,Active
AddToCart,Social,Description for event 2000037,2025-03-18,Archived
Logout,Transactional,Description for event 2000038,2025-03-18,Active
Login,Transactional,Description for event 2000040,2025-03-18,Active
Signup,Transactional,Description for event 2000042,2025-03-18,Active
ProductView,Social,Description for event 2000043,2025-03-18,Archived
Checkout,Transactional,Description for event 2000048,2025-03-18,Active
ProductView,Transactional,Description for event 2000050,2025-03-18,Active
Subscription,Social,Description for event 2000053,2025-03-18,Archived
Checkout,Social,Description for event 2000055,2025-03-18,Archived
Subscription,Social,Description for event 545,2025-03-18,Archived
Login,Transactional,Description for event 546,2025-03-18,Active
Checkout,Social,Description for event 547,2025-03-18,Archived
ProductView,Social,Description for event 549,2025-03-18,Archived
Subscription,Transactional,Description for event 552,2025-03-18,Active
Checkout,Transactional,Description for event 554,2025-03-18,Active
Signup,Social,Description for event 555,2025-03-18,Archived
ProductView,Transactional,Description for event 556,2025-03-18,Active
AddToCart,Social,Description for event 557,2025-03-18,Archived
Checkout,Social,Description for event 561,2025-03-18,Archived
Signup,Transactional,Description for event 562,2025-03-18,Active
ProductView,Social,Description for event 563,2025-03-18,Archived
Login,Social,Description for event 567,2025-03-18,Archived
Checkout,Transactional,Description for event 568,2025-03-18,Active
Subscription,Social,Description for event 573,2025-03-18,Archived
Login,Transactional,Description for event 574,2025-03-18,Active
Signup,Transactional,Description for event 576,2025-03-18,Active
ProductView,Social,Description for event 577,2025-03-18,Archived
Login,Social,Description for event 581,2025-03-18,Archived
ProductView,Transactional,Description for event 584,2025-03-18,Active
AddToCart,Social,Description for event 585,2025-03-18,Archived
Checkout,Social,Description for event 589,2025-03-18,Archived
ProductView,Social,Description for event 591,2025-03-18,Archived
Logout,Social,Description for event 593,2025-03-18,Archived
Subscription,Transactional,Description for event 594,2025-03-18,Active
Login,Social,Description for event 595,2025-03-18,Archived
Checkout,Transactional,Description for event 596,2025-03-18,Active
Signup,Social,Description for event 597,2025-03-18,Archived
ProductView,Transactional,Description for event 598,2025-03-18,Active
Subscription,Social,Description for event 601,2025-03-18,Archived
Signup,Transactional,Description for event 604,2025-03-18,Active
ProductView,Social,Description for event 605,2025-03-18,Archived
AddToCart,Transactional,Description for event 606,2025-03-18,Active
Subscription,Transactional,Description for event 608,2025-03-18,Active
Signup,Social,Description for event 611,2025-03-18,Archived
ProductView,Transactional,Description for event 612,2025-03-18,Active
AddToCart,Social,Description for event 613,2025-03-18,Archived
Logout,Transactional,Description for event 614,2025-03-18,Active
Login,Transactional,Description for event 616,2025-03-18,Active
Subscription,Transactional,Description for event 622,2025-03-18,Active
Signup,Social,Description for event 625,2025-03-18,Archived
ProductView,Transactional,Description for event 626,2025-03-18,Active
Login,Transactional,Description for event 630,2025-03-18,Active
ProductView,Social,Description for event 633,2025-03-18,Archived
AddToCart,Transactional,Description for event 634,2025-03-18,Active
Subscription,Transactional,Description for event 636,2025-03-18,Active
Login,Social,Description for event 637,2025-03-18,Archived
ProductView,Transactional,Description for event 640,2025-03-18,Active
Login,Transactional,Description for event 644,2025-03-18,Active
ProductView,Social,Description for event 647,2025-03-18,Archived
Logout,Social,Description for event 649,2025-03-18,Archived
Checkout,Transactional,Description for event 652,2025-03-18,Active
AddToCart,Social,Description for event 655,2025-03-18,Archived
Login,Transactional,Description for event 658,2025-03-18,Active
Checkout,Social,Description for event 659,2025-03-18,Archived
Signup,Transactional,Description for event 660,2025-03-18,Active
ProductView,Social,Description for event 661,2025-03-18,Archived
Logout,Social,Description for event 663,2025-03-18,Archived
Subscription,Transactional,Description for event 664,2025-03-18,Active
Login,Social,Description for event 665,2025-03-18,Archived
Checkout,Transactional,Description for event 666,2025-03-18,Active
ProductView,Transactional,Description for event 668,2025-03-18,Active
Logout,Transactional,Description for event 670,2025-03-18,Active
Signup,Transactional,Description for event 674,2025-03-18,Active
ProductView,Social,Description for event 675,2025-03-18,Archived
Subscription,Transactional,Description for event 678,2025-03-18,Active
Login,Social,Description for event 679,2025-03-18,Archived
Checkout,Transactional,Description for event 680,2025-03-18,Active
ProductView,Social,Description for event 689,2025-03-18,Archived
AddToCart,Transactional,Description for event 690,2025-03-18,Active
Checkout,Transactional,Description for event 694,2025-03-18,Active
ProductView,Transactional,Description for event 696,2025-03-18,Active
Logout,Transactional,Description for event 698,2025-03-18,Active
Checkout,Social,Description for event 701,2025-03-18,Archived
Logout,Social,Description for event 705,2025-03-18,Archived
Subscription,Transactional,Description for event 706,2025-03-18,Active
Login,Social,Description for event 707,2025-03-18,Archived
Checkout,Transactional,Description for event 708,2025-03-18,Active
ProductView,Transactional,Description for event 710,2025-03-18,Active
AddToCart,Social,Description for event 711,2025-03-18,Archived
Logout,Transactional,Description for event 712,2025-03-18,Active
Subscription,Social,Description for event 713,2025-03-18,Archived
Checkout,Social,Description for event 715,2025-03-18,Archived
ProductView,Social,Description for event 717,2025-03-18,Archived
AddToCart,Transactional,Description for event 718,2025-03-18,Active
Subscription,Transactional,Description for event 720,2025-03-18,Active
Login,Social,Description for event 721,2025-03-18,Archived
Signup,Social,Description for event 723,2025-03-18,Archived
ProductView,Transactional,Description for event 724,2025-03-18,Active
AddToCart,Social,Description for event 725,2025-03-18,Archived
Subscription,Social,Description for event 727,2025-03-18,Archived
Checkout,Social,Description for event 729,2025-03-18,Archived
ProductView,Social,Description for event 731,2025-03-18,Archived
AddToCart,Transactional,Description for event 732,2025-03-18,Active
ProductView,Social,Description for event 2000057,2025-03-18,Archived
AddToCart,Transactional,Description for event 2000058,2025-03-18,Active
Subscription,Transactional,Description for event 2000060,2025-03-18,Active
Signup,Social,Description for event 2000063,2025-03-18,Archived
Subscription,Social,Description for event 2000067,2025-03-18,Archived
Checkout,Social,Description for event 2000069,2025-03-18,Archived
Signup,Transactional,Description for event 2000070,2025-03-18,Active
Logout,Social,Description for event 2000073,2025-03-18,Archived
Login,Social,Description for event 2000075,2025-03-18,Archived
ProductView,Transactional,Description for event 2000078,2025-03-18,Active
AddToCart,Social,Description for event 2000079,2025-03-18,Archived
Subscription,Social,Description for event 2000081,2025-03-18,Archived
Login,Transactional,Description for event 2000082,2025-03-18,Active
Checkout,Social,Description for event 2000083,2025-03-18,Archived
Logout,Social,Description for event 2000087,2025-03-18,Archived
Subscription,Transactional,Description for event 2000088,2025-03-18,Active
Checkout,Transactional,Description for event 2000090,2025-03-18,Active
Subscription,Social,Description for event 2000095,2025-03-18,Archived
Checkout,Social,Description for event 2000097,2025-03-18,Archived
Signup,Transactional,Description for event 2000098,2025-03-18,Active
ProductView,Social,Description for event 2000099,2025-03-18,Archived
Logout,Transactional,Description for event 3000002,2025-03-18,Active
Subscription,Social,Description for event 3000003,2025-03-18,Archived
Login,Transactional,Description for event 3000004,2025-03-18,Active
ProductView,Social,Description for event 3000007,2025-03-18,Archived
AddToCart,Transactional,Description for event 3000008,2025-03-18,Active
Login,Social,Description for event 3000011,2025-03-18,Archived
Logout,Transactional,Description for event 3000016,2025-03-18,Active
Subscription,Social,Description for event 3000017,2025-03-18,Archived
Login,Transactional,Description for event 3000018,2025-03-18,Active
Signup,Transactional,Description for event 3000020,2025-03-18,Active
Logout,Social,Description for event 3000023,2025-03-18,Archived
Subscription,Transactional,Description for event 3000024,2025-03-18,Active
Login,Social,Description for event 3000025,2025-03-18,Archived
Checkout,Transactional,Description for event 3000026,2025-03-18,Active
ProductView,Transactional,Description for event 3000028,2025-03-18,Active
AddToCart,Social,Description for event 3000029,2025-03-18,Archived
Logout,Transactional,Description for event 3000030,2025-03-18,Active
Subscription,Social,Description for event 3000031,2025-03-18,Archived
Checkout,Social,Description for event 3000033,2025-03-18,Archived
Signup,Transactional,Description for event 3000034,2025-03-18,Active
ProductView,Social,Description for event 3000035,2025-03-18,Archived
AddToCart,Transactional,Description for event 3000036,2025-03-18,Active
Logout,Social,Description for event 3000037,2025-03-18,Archived
Login,Transactional,Description for event 3000046,2025-03-18,Active
Checkout,Social,Description for event 3000047,2025-03-18,Archived
Signup,Transactional,Description for event 3000048,2025-03-18,Active
ProductView,Social,Description for event 3000049,2025-03-18,Archived
AddToCart,Transactional,Description for event 3000050,2025-03-18,Active
Logout,Social,Description for event 3000051,2025-03-18,Archived
Login,Social,Description for event 3000053,2025-03-18,Archived
Checkout,Transactional,Description for event 3000054,2025-03-18,Active
Logout,Transactional,Description for event 3000058,2025-03-18,Active
Subscription,Social,Description for event 3000059,2025-03-18,Archived
Logout,Social,Description for event 3000065,2025-03-18,Archived
Login,Social,Description for event 3000067,2025-03-18,Archived
Signup,Social,Description for event 3000069,2025-03-18,Archived
Login,Transactional,Description for event 3000074,2025-03-18,Active
ProductView,Social,Description for event 3000077,2025-03-18,Archived
Logout,Social,Description for event 3000079,2025-03-18,Archived
Checkout,Transactional,Description for event 3000082,2025-03-18,Active
Signup,Social,Description for event 3000083,2025-03-18,Archived
Login,Transactional,Description for event 3000088,2025-03-18,Active
Checkout,Social,Description for event 3000089,2025-03-18,Archived
Signup,Transactional,Description for event 3000090,2025-03-18,Active
Logout,Social,Description for event 3000093,2025-03-18,Archived
Checkout,Transactional,Description for event 3000096,2025-03-18,Active
ProductView,Transactional,Description for event 3000098,2025-03-18,Active
AddToCart,Social,Description for event 3000099,2025-03-18,Archived
Logout,Transactional,Description for event 3000100,2025-03-18,Active
Logout,Social,Description for event 4000001,2025-03-18,Archived
Login,Social,Description for event 4000003,2025-03-18,Archived
Signup,Social,Description for event 4000005,2025-03-18,Archived
ProductView,Transactional,Description for event 4000006,2025-03-18,Active
Login,Transactional,Description for event 4000010,2025-03-18,Active
AddToCart,Transactional,Description for event 4000014,2025-03-18,Active
Logout,Social,Description for event 4000015,2025-03-18,Archived
Signup,Social,Description for event 4000019,2025-03-18,Archived
AddToCart,Social,Description for event 4000021,2025-03-18,Archived
Logout,Transactional,Description for event 4000022,2025-03-18,Active
Subscription,Social,Description for event 4000023,2025-03-18,Archived
Login,Transactional,Description for event 4000024,2025-03-18,Active
Checkout,Social,Description for event 4000025,2025-03-18,Archived
Logout,Social,Description for event 733,2025-03-18,Archived
Subscription,Transactional,Description for event 734,2025-03-18,Active
ProductView,Transactional,Description for event 738,2025-03-18,Active
AddToCart,Social,Description for event 739,2025-03-18,Archived
Subscription,Social,Description for event 741,2025-03-18,Archived
Checkout,Social,Description for event 743,2025-03-18,Archived
ProductView,Social,Description for event 745,2025-03-18,Archived
Login,Social,Description for event 749,2025-03-18,Archived
ProductView,Transactional,Description for event 752,2025-03-18,Active
AddToCart,Social,Description for event 753,2025-03-18,Archived
Checkout,Social,Description for event 757,2025-03-18,Archived
Signup,Transactional,Description for event 758,2025-03-18,Active
AddToCart,Transactional,Description for event 760,2025-03-18,Active
Subscription,Transactional,Description for event 762,2025-03-18,Active
Login,Social,Description for event 763,2025-03-18,Archived
Checkout,Transactional,Description for event 764,2025-03-18,Active
Login,Transactional,Description for event 770,2025-03-18,Active
Signup,Transactional,Description for event 772,2025-03-18,Active
ProductView,Social,Description for event 773,2025-03-18,Archived
AddToCart,Transactional,Description for event 774,2025-03-18,Active
Logout,Social,Description for event 775,2025-03-18,Archived
Login,Social,Description for event 777,2025-03-18,Archived
Signup,Social,Description for event 779,2025-03-18,Archived
ProductView,Transactional,Description for event 780,2025-03-18,Active
AddToCart,Social,Description for event 781,2025-03-18,Archived
Logout,Transactional,Description for event 782,2025-03-18,Active
Subscription,Social,Description for event 783,2025-03-18,Archived
AddToCart,Transactional,Description for event 788,2025-03-18,Active
Checkout,Transactional,Description for event 792,2025-03-18,Active
Signup,Social,Description for event 793,2025-03-18,Archived
AddToCart,Social,Description for event 795,2025-03-18,Archived
Login,Transactional,Description for event 798,2025-03-18,Active
ProductView,Social,Description for event 801,2025-03-18,Archived
Logout,Social,Description for event 803,2025-03-18,Archived
Subscription,Transactional,Description for event 804,2025-03-18,Active
Login,Social,Description for event 805,2025-03-18,Archived
Signup,Social,Description for event 807,2025-03-18,Archived
ProductView,Transactional,Description for event 808,2025-03-18,Active
AddToCart,Social,Description for event 809,2025-03-18,Archived
Subscription,Social,Description for event 811,2025-03-18,Archived
ProductView,Social,Description for event 815,2025-03-18,Archived
AddToCart,Transactional,Description for event 816,2025-03-18,Active
Logout,Social,Description for event 817,2025-03-18,Archived
Login,Social,Description for event 819,2025-03-18,Archived
Signup,Social,Description for event 821,2025-03-18,Archived
AddToCart,Social,Description for event 823,2025-03-18,Archived
AddToCart,Transactional,Description for event 830,2025-03-18,Active
Subscription,Transactional,Description for event 832,2025-03-18,Active
AddToCart,Social,Description for event 837,2025-03-18,Archived
Checkout,Social,Description for event 841,2025-03-18,Archived
Signup,Transactional,Description for event 842,2025-03-18,Active
Subscription,Transactional,Description for event 846,2025-03-18,Active
Signup,Social,Description for event 849,2025-03-18,Archived
Checkout,Social,Description for event 855,2025-03-18,Archived
Signup,Transactional,Description for event 856,2025-03-18,Active
ProductView,Social,Description for event 857,2025-03-18,Archived
AddToCart,Transactional,Description for event 858,2025-03-18,Active
Logout,Social,Description for event 859,2025-03-18,Archived
Login,Social,Description for event 861,2025-03-18,Archived
Checkout,Transactional,Description for event 862,2025-03-18,Active
Signup,Social,Description for event 863,2025-03-18,Archived
ProductView,Transactional,Description for event 864,2025-03-18,Active
AddToCart,Social,Description for event 865,2025-03-18,Archived
Logout,Transactional,Description for event 866,2025-03-18,Active
Subscription,Social,Description for event 867,2025-03-18,Archived
Login,Transactional,Description for event 868,2025-03-18,Active
Signup,Transactional,Description for event 870,2025-03-18,Active
ProductView,Social,Description for event 871,2025-03-18,Archived
Logout,Social,Description for event 873,2025-03-18,Archived
Subscription,Transactional,Description for event 874,2025-03-18,Active
Checkout,Transactional,Description for event 876,2025-03-18,Active
ProductView,Transactional,Description for event 878,2025-03-18,Active
Checkout,Social,Description for event 883,2025-03-18,Archived
Logout,Social,Description for event 887,2025-03-18,Archived
Login,Social,Description for event 889,2025-03-18,Archived
ProductView,Transactional,Description for event 892,2025-03-18,Active
Logout,Transactional,Description for event 894,2025-03-18,Active
Subscription,Social,Description for event 895,2025-03-18,Archived
Login,Transactional,Description for event 896,2025-03-18,Active
Checkout,Social,Description for event 897,2025-03-18,Archived
ProductView,Social,Description for event 899,2025-03-18,Archived
Logout,Social,Description for event 901,2025-03-18,Archived
Login,Social,Description for event 903,2025-03-18,Archived
Checkout,Transactional,Description for event 904,2025-03-18,Active
Signup,Social,Description for event 905,2025-03-18,Archived
AddToCart,Social,Description for event 907,2025-03-18,Archived
Logout,Transactional,Description for event 908,2025-03-18,Active
Checkout,Social,Description for event 911,2025-03-18,Archived
ProductView,Social,Description for event 913,2025-03-18,Archived
Subscription,Transactional,Description for event 916,2025-03-18,Active
Checkout,Transactional,Description for event 918,2025-03-18,Active
ProductView,Transactional,Description for event 920,2025-03-18,Active
Subscription,Social,Description for event 923,2025-03-18,Archived
Checkout,Social,Description for event 925,2025-03-18,Archived
Signup,Transactional,Description for event 926,2025-03-18,Active
ProductView,Social,Description for event 927,2025-03-18,Archived
